"male","age","state","time.served","max.sentence","multiple.offenses","crime","violator"
1,33.2,1,5.5,18,0,4,0
0,39.7,1,5.4,12,0,3,0
1,29.5,1,5.6,12,0,3,0
1,22.4,1,5.7,18,0,1,0
1,21.6,1,5.4,12,0,1,0
1,46.7,1,6,18,0,4,0
0,24.6,1,4.8,12,0,1,0
0,32.6,1,4.5,13,0,3,0
1,29.1,1,4.7,12,0,2,0
1,30.1,1,5.3,16,0,3,0
1,37.8,1,5.3,8,0,3,0
1,42.3,1,4.8,16,0,3,0
1,21.3,1,5.1,8,0,1,0
1,24.5,1,6,16,0,3,0
1,31.6,1,4.9,8,0,1,0
1,41.9,1,5.1,16,0,3,0
1,23,1,5.3,8,0,1,0
1,29.5,1,3.9,16,0,1,1
1,32.8,1,5.9,16,0,3,0
1,28.7,1,6,8,0,1,0
1,50.2,1,6,8,0,1,0
1,25.9,1,0.5,16,0,1,0
1,47.1,1,5.4,13,0,1,0
1,37.2,1,2,16,0,1,1
1,39.1,1,0,16,0,3,0
1,29.9,1,4.8,12,1,1,1
1,27.5,1,3.8,12,1,3,1
1,28.1,1,4.2,12,1,2,0
1,34.2,1,4.4,12,1,1,1
1,36.5,1,3.9,12,1,4,1
1,33.5,1,4.2,12,1,1,1
1,55,1,4.2,12,1,4,0
1,37.3,1,4.6,12,1,1,1
1,24.9,1,0.1,18,1,1,0
0,61.6,1,4.5,12,1,1,0
1,41.7,1,4.4,12,1,1,1
1,54.5,1,4.1,12,1,1,0
1,38.8,1,3.7,12,1,1,0
1,20.2,1,2.1,12,1,1,0
1,41.4,1,4.1,12,1,1,1
1,32.2,1,4.9,12,1,1,1
1,33.7,1,0.2,12,1,1,0
1,35,1,1.2,18,1,1,0
1,57.5,2,5.9,12,0,1,0
1,57.5,2,5.9,12,0,1,0
0,42.4,2,3.6,12,0,3,0
0,25.3,2,4.8,12,0,2,0
0,37.5,2,4.8,12,0,1,0
0,22.3,2,4,12,0,2,0
0,40.1,2,5.2,12,0,1,0
0,40.3,2,5.9,12,1,3,0
0,43.6,2,3.8,12,0,3,0
0,43.6,2,3.8,12,0,3,0
1,33.7,2,5.2,12,0,3,1
1,20.6,2,4.2,12,0,3,1
1,34.8,2,5.1,12,0,1,0
1,25,2,5.3,12,0,1,0
0,39,2,5.7,18,0,3,0
1,41.1,2,4.2,12,0,4,0
1,26.6,2,2.6,12,0,1,0
1,20.5,2,3.2,12,1,1,1
1,51.1,2,4.4,18,1,3,0
0,21,2,5.2,18,0,3,0
0,24.2,2,4.8,12,0,1,0
1,37.3,2,3.5,12,0,3,0
1,22.4,2,4.7,12,0,1,0
1,22,2,5.1,12,0,3,0
1,41,2,4.7,12,0,3,0
1,27,2,5.2,12,0,1,0
0,24.2,2,5,12,0,1,0
1,51.1,2,5.1,12,0,1,0
1,18.8,2,4.9,12,0,1,0
1,24.3,2,6,12,0,3,0
1,50.5,2,4.8,12,0,3,0
1,23.4,2,5.2,12,0,2,0
1,21.4,2,5.6,18,0,1,0
1,45,2,3.5,12,0,3,0
1,46.7,2,5.1,12,0,3,0
1,23.2,2,5.2,18,0,3,0
1,41.3,2,4.9,12,1,3,1
1,43.4,2,4.7,18,1,3,0
0,29.1,2,4.9,12,0,3,0
1,23.3,2,5.2,12,0,3,0
1,18.7,2,5.2,12,0,1,1
1,32,2,5.5,12,0,3,0
1,35.1,2,5.1,14,0,2,0
0,29,2,5.9,12,0,3,0
0,36.2,2,5.1,12,1,2,0
0,44.4,2,4.9,12,0,2,1
1,45.9,2,4.5,12,0,3,0
1,56.8,2,4.4,12,0,3,0
1,56.8,2,4.4,12,0,3,0
1,48.9,2,4.1,12,0,1,0
1,39.2,2,5.2,12,0,1,0
1,39.2,2,5.2,12,0,1,0
0,41.3,2,5.9,12,0,3,0
0,25.6,2,3.7,12,0,1,1
0,22.4,2,3.4,12,0,3,1
0,30.2,2,5,12,1,1,0
1,53.5,2,5.5,12,0,1,0
1,53.5,2,5.5,12,0,1,0
1,21.8,2,4.7,12,0,3,0
1,31,2,5.1,12,0,3,0
1,31,2,5.1,12,0,3,0
1,32.7,2,5.1,12,1,1,0
1,32.7,2,5.1,12,1,1,0
1,26.3,2,4.3,12,0,3,0
0,44,2,5.4,12,0,3,0
1,27.4,2,5.2,12,0,3,1
1,37.2,2,6,12,0,3,0
1,32.2,2,3,12,0,1,0
1,19.5,2,5.3,12,0,1,0
1,46.1,2,1.8,12,0,4,0
1,46.3,2,4.4,12,0,4,0
1,46.3,2,4.4,12,0,4,0
1,45.4,2,5.9,12,0,1,0
1,45.4,2,5.9,12,0,1,0
1,48.5,2,3.2,12,0,3,0
1,20.7,2,4.5,12,0,3,0
1,43.8,3,2.9,1,1,4,0
1,41.2,3,6,12,1,3,0
1,43.6,3,5.4,16,1,1,1
1,44.9,3,0.8,1,1,1,1
1,44.7,3,2.2,12,1,4,1
1,37,3,2.7,3,1,3,0
1,35.5,3,0.5,4,1,3,0
1,35.2,3,4.5,6,1,1,0
1,31.2,3,5.3,9,1,1,0
1,32.8,3,5,8,1,3,1
1,41.3,3,4.7,3,1,1,1
1,45.8,3,2,6,1,1,1
0,38.4,3,3.6,6,1,1,0
1,28.1,3,0.8,18,1,1,1
1,28.9,3,6,9,1,1,1
0,26.4,3,2.8,2,1,1,0
1,33.7,3,5.8,18,1,3,1
1,27.3,3,0.8,11,1,1,0
1,23.7,3,1.3,5,1,2,1
1,24.2,3,3.4,11,0,1,1
1,45,3,3.9,2,1,4,0
0,26.4,3,5.1,6,1,1,0
